file,column,type,unit,definition,typical_range,notes
project_history.csv,realized_risk_reduction,float,fraction,Estimated realized fractional risk reduction (synthetic).,0–0.50,
project_history.csv,delivered_on_time,int,0/1,Label: 1 if total_delay_days ≤ 45; else 0.,0 or 1,Recommended feasibility label.
project_history.csv,achieved_min_outcome,int,0/1,Alternate label: 1 if achieved_outcome_score ≥ 60; else 0.,0 or 1,
project_history.csv,community_engagement_score,float,0–100,Proxy for local engagement quality (synthetic).,0–100,
project_history.csv,post_project_audit_score,float,0–100,Post-hoc audit score (available only after completion).,0–100,Leakage risk: do not use as predictor.
project_history.csv,post_project_satisfaction_score,float,0–100,Post-hoc beneficiary satisfaction score.,0–100,Leakage risk: do not use as predictor.
field_notes/,Header fields,text,n/a,"Each note includes date, country/region, district id and code, partner, intervention.",,
field_notes/,Severity rating,int,1–5,Operational severity recorded by field team (higher = more severe).,1–5,
field_notes/,Estimated schedule impact,int,weeks,Approximate schedule impact referenced in the note.,0–12,
field_notes/,Mitigation actions proposed,text,n/a,Suggested mitigation steps linked to the primary risk category.,,
field_notes/,Context note (trend cue),text,n/a,Some notes include an explicit line indicating worsening heatwaves/rainfall disruptions.,,
gold_questions.json,id,string,n/a,Question identifier.,,
gold_questions.json,question,string,n/a,Question text (answerable from field notes).,,
gold_questions.json,expected_answer,string,n/a,Expected answer text.,,
gold_questions.json,evidence,array,n/a,File and matching hint to locate evidence.,,
risk_labels_seed.csv,snippet_id,string,n/a,Snippet identifier.,,
risk_labels_seed.csv,source_file,string,n/a,Field note filename where snippet appears.,,
risk_labels_seed.csv,district_id,string,n/a,Canonical district id.,,
risk_labels_seed.csv,text,string,n/a,Snippet text.,,
risk_labels_seed.csv,risk_category,string,n/a,Single risk label from the taxonomy (optional stretch).,,
