project_id,district_code,intervention_id,partner,start_date,planned_end_date,actual_end_date,cost_usd,baseline_risk_score,total_delay_days,achieved_outcome_score,realized_risk_reduction,delivered_on_time,achieved_min_outcome,community_engagement_score,post_project_audit_score,post_project_satisfaction_score
P00034,D-027,I10,CommunityFirst,2022-04-04,2023-04-29,2023-05-10,547600,63.86,11,64.24,0.265,1,1,49.84,63.04,60.27
P00035,D-063,I18,SunBuild Initiative,2021-03-22,2022-11-12,2023-04-18,1260600,81.72,157,42.05,0.09,0,0,51.28,43.36,34.6
P00036,D-027,I07,HydroBuild Co,2021-11-09,2023-03-04,2023-05-19,1172600,55.24,76,68.16,0.29,0,1,44.52,63.32,57.55
P00037,D-109,I16,GreenWorks Alliance,2022-04-26,2023-10-18,2024-03-17,656800,85.1,151,56.31,0.104,0,0,50.59,60.97,55.48
P00038,D-116,I05,BlueRiver Implementers,2022-08-29,2024-06-19,2024-08-23,566300,62.4,65,74.66,0.364,0,1,56.51,72.17,74.53
P00039,D-090,I14,InfraTrust Consortium,2023-01-24,2024-10-15,2025-01-18,1796100,76.52,95,68.15,0.445,0,1,61.74,70.99,67.44
P00040,D-037,I18,HydroBuild Co,2021-09-20,2023-05-13,2023-08-09,1185000,66.1,88,53.35,0.117,0,0,39.43,52.92,43.46
P00041,D-048,I15,BlueRiver Implementers,2022-04-11,2023-06-05,2023-07-31,867100,86.42,56,60.52,0.444,0,1,67.35,66.72,66.07
P00042,D-033,I14,BlueRiver Implementers,2021-08-22,2023-05-14,2023-10-06,614300,68.13,145,58.0,0.12,0,0,52.08,53.96,52.96
P00043,D-085,I10,HeatSafe Partners,2022-06-28,2023-07-23,2023-08-20,510500,61.74,28,73.0,0.255,1,1,73.19,71.44,68.21
P00044,D-059,I05,RapidRelief Local,2023-12-02,2025-09-22,2026-01-10,614300,68.05,110,56.35,0.095,0,0,45.85,55.38,47.32
P00045,D-112,I14,InfraTrust Consortium,2021-01-26,2022-10-18,2022-12-24,844600,81.14,67,76.77,0.386,0,1,69.65,83.3,67.28
P00046,D-094,I03,CivicResilience NGO,2021-06-17,2023-04-08,2023-08-18,650300,72.83,132,58.85,0.138,0,0,53.97,55.39,60.89
P00047,D-077,I05,HydroBuild Co,2022-03-25,2024-01-14,2024-03-24,323300,58.13,70,59.27,0.147,0,0,57.65,58.41,45.28
P00048,D-014,I08,InfraTrust Consortium,2023-09-28,2025-04-20,2025-07-04,534800,66.2,75,94.73,0.5,0,1,66.45,97.56,79.49
P00049,D-075,I07,BlueRiver Implementers,2021-11-15,2023-03-10,2023-06-17,1514400,63.71,99,63.49,0.264,0,1,36.16,59.84,50.59
P00050,D-084,I12,Delta Engineering,2024-01-21,2025-05-15,2025-07-02,1298700,47.0,48,80.75,0.41,0,1,50.48,78.71,70.44
P00051,D-053,I15,GreenWorks Alliance,2022-07-14,2023-09-07,2023-12-26,838600,53.67,110,66.75,0.488,0,1,46.69,69.47,62.67
P00052,D-107,I14,SunBuild Initiative,2022-10-21,2024-07-12,2024-10-29,1117700,85.76,109,52.56,0.127,0,0,50.22,50.0,61.89
P00053,D-004,I06,HeatSafe Partners,2021-01-29,2022-08-22,2022-10-24,638000,65.6,63,76.57,0.5,0,1,76.11,72.24,83.26
P00054,D-117,I16,RapidRelief Local,2023-03-03,2024-08-24,2024-12-01,630800,76.74,99,68.26,0.222,0,1,54.36,61.04,54.4
P00055,D-027,I09,CommunityFirst,2023-12-23,2025-10-13,2026-01-01,552900,65.29,80,80.71,0.447,0,1,72.29,86.72,84.73
P00056,D 102,I07,HeatSafe Partners,2021-10-29,2023-02-21,2023-06-05,1358100,91.91,104,60.4,0.25,0,1,33.77,55.53,51.21
P00057,D-020,I03,BlueRiver Implementers,2021-04-30,2023-02-19,2023-07-02,1198000,61.26,133,64.51,0.479,0,1,57.45,69.57,68.5
P00058,D-091,I11,HydroBuild Co,2021-07-04,2022-08-28,2023-01-15,609400,56.95,140,46.46,0.169,0,0,70.92,43.21,61.07
P00059,D-096,I18,Delta Engineering,2021-04-19,2022-12-10,2023-02-20,1004300,59.52,72,70.68,0.282,0,1,44.4,65.98,60.02
P00060,D-097,I11,RapidRelief Local,2023-02-12,2024-04-07,2024-06-19,517800,62.86,73,62.2,0.331,0,1,59.72,60.22,58.58
P00061,D-030,I17,RapidRelief Local,2023-10-29,2025-03-22,2025-06-09,1732700,61.65,79,64.24,0.232,0,1,50.81,69.87,61.35
P00062,D-030,I15,SunBuild Initiative,2024-01-13,2025-03-08,2025-06-07,828200,56.39,91,48.97,0.144,0,0,39.9,49.66,52.88
P00063,D-101,I07,Delta Engineering,2023-08-16,2024-12-08,2025-02-01,1214700,73.09,55,50.27,0.118,0,0,38.44,45.57,38.67
P00064,D-092,I11,CivicResilience NGO,2021-07-08,2022-09-01,2022-11-30,382100,80.08,90,69.85,0.328,0,1,51.12,66.02,66.59
P00065,D-010,I06,HeatSafe Partners,2023-01-14,2024-08-06,2024-09-30,798900,70.19,55,77.19,0.5,0,1,52.92,68.17,67.25
P00066,D-032,I09,RapidRelief Local,2021-05-05,2023-02-24,2023-07-07,876600,73.93,133,63.11,0.277,0,1,57.05,65.05,69.72
P00067,D-083,I18,BlueRiver Implementers,2023-08-02,2025-03-24,2025-05-29,931400,72.21,66,69.07,0.283,0,1,69.73,72.73,66.59
P00068,D-044,I15,InfraTrust Consortium,2023-10-30,2024-12-23,2025-04-05,1559700,79.66,103,64.27,0.5,0,1,84.93,58.13,67.56
P00069,D 050,I03,SunBuild  Initiative,2021-10-18,2023-08-09,2024-01-03,947400,76.26,147,43.91,0.064,0,0,20.49,44.35,36.71
P00070,D-062,I02,HydroBuild Co,2023-12-21,2025-02-13,2025-04-05,1742300,59.37,51,70.63,0.249,0,1,47.11,72.22,54.73
P00071,D-098,I12,GreenWorks Alliance,2022-06-10,2023-10-03,2023-12-28,1368100,53.49,86,63.72,0.33,0,1,51.25,68.4,51.41
P00072,D-060,I09,InfraTrust Consortium,2022-01-25,2023-11-16,2024-04-02,705800,62.7,138,80.36,0.429,0,1,63.28,79.04,72.92
P00073,D-072,I10,InfraTrust Consortium,2021-03-27,2022-04-21,2022-05-29,494700,81.93,38,81.82,0.257,1,1,67.71,81.48,82.46
P00074,d030,I14,HeatSafe Partners,2023-09-16,2025-06-07,2025-08-23,1306200,71.39,77,59.18,0.161,0,0,53.32,62.68,56.66
P00075,D-021,I03,BlueRiver Implementers,2022-04-12,2024-02-01,2024-04-20,1134800,86.36,79,61.61,0.46,0,1,58.93,56.86,52.01
P00076,D-023,I15,CommunityFirst,2023-03-10,2024-05-03,2024-07-13,970300,78.2,71,65.9,0.5,0,1,63.03,65.7,67.0
P00077,D-111,I07,HeatSafe Partners,2021-11-04,2023-02-27,2023-05-12,1354300,72.87,74,69.95,0.289,0,1,70.71,70.8,71.06
P00078,D-065,I13,SunBuild Initiative,2023-12-29,2025-08-20,2025-12-25,1483700,54.13,127,55.57,0.081,0,0,70.64,56.58,65.41
P00079,D-059,I06,InfraTrust Consortium,2021-02-04,2022-08-28,2022-10-25,1002100,62.03,58,76.5,0.5,0,1,56.68,76.87,68.86
P00080,D077,I14,BlueRiver Implementers,2023-11-23,2025-08-14,2025-11-18,877300,55.92,96,71.19,0.368,0,1,58.26,71.43,64.73
P00081,D-072,I10,HeatSafe Partners,2022-06-17,2023-07-12,2023-08-03,634100,84.76,22,78.45,0.256,1,1,54.24,72.25,65.6
P00082,D-003,I02,RapidRelief Local,2021-04-02,2022-05-27,2022-07-09,1122700,58.73,43,58.47,0.062,1,0,34.12,60.76,49.51
P00083,D-059,I07,HeatSafe Partners,2021-06-09,2022-10-02,2022-11-29,1325000,61.33,58,77.78,0.307,0,1,54.51,78.09,62.48
P00084,D-116,I01,HeatSafe Partners,2022-08-14,2023-09-08,2023-11-19,962100,50.23,72,72.78,0.203,0,1,76.44,70.82,68.01
P00085,D-073,I09,CivicResilience NGO,2023-02-21,2024-12-12,2025-03-22,641900,89.33,100,63.36,0.356,0,1,45.07,62.1,44.18
P00086,D-049,I05,SunBuild Initiative,2021-07-14,2023-05-05,2023-08-31,482900,73.86,118,44.43,0.093,0,0,49.45,44.87,41.73
P00087,D-010,I06,HydroBuild Co,2022-08-13,2024-03-05,2024-05-25,919000,69.22,81,63.67,0.462,0,1,54.7,67.52,55.51
P00088,D-112,I08,CommunityFirst,2021-11-24,2023-06-17,2023-10-10,593400,90.01,115,69.43,0.427,0,1,77.78,78.3,73.55
P00089,D-110,I08,CommunityFirst,2023-01-25,2024-08-17,2024-11-12,592300,62.88,87,70.63,0.492,0,1,69.75,68.19,73.85
P00090,D-059,I13,BlueRiver Implementers,2023-06-14,2025-02-03,2025-03-22,2264700,52.21,47,65.52,0.248,0,1,63.32,66.5,73.76
P00091,D-073,I07,Delta Engineering,2023-08-13,2024-12-05,2025-01-02,1904000,95.18,28,67.67,0.265,1,1,59.65,71.9,73.45
P00092,D-075,I18,CivicResilience NGO,2023-04-02,2024-11-22,2025-03-06,979400,63.51,104,63.52,0.235,0,1,51.92,61.28,60.16
P00093,D-049,I11,InfraTrust Consortium,2022-11-02,2023-12-27,2024-03-21,1054000,76.45,85,66.43,0.413,0,1,60.65,69.17,62.35
P00094,D-075,I02,CivicResilience NGO,2022-11-05,2023-12-30,2024-02-05,1288100,65.41,37,63.72,0.262,1,1,58.3,75.92,67.58
P00095,D-090,I08,CommunityFirst,2022-09-20,2024-04-12,2024-07-10,508200,69.85,89,74.26,0.457,0,1,64.36,72.43,67.22
P00096,D-037,I15,BlueRiver Implementers,2022-04-19,2023-06-13,2023-08-26,543300,66.66,74,69.21,0.398,0,1,55.5,64.26,60.09
P00097,D-056,I08,BlueRiver Implementers,2022-10-13,2024-05-05,2024-09-06,481500,54.25,124,66.61,0.414,0,1,48.28,64.97,56.14
P00098,D-026,I06,SunBuild Initiative,2023-05-16,2024-12-06,2024-12-27,817700,58.28,21,50.12,0.18,1,0,21.76,45.46,36.84
P00099,D-107,I15,CommunityFirst,2022-10-16,2023-12-10,2024-02-28,1062900,81.67,80,74.39,0.5,0,1,78.82,71.29,81.62
P00100,D-033,I16,BlueRiver Implementers,2021-12-17,2023-06-10,2023-10-04,1131700,81.42,116,51.05,0.139,0,0,53.23,49.0,54.58
P00101,D-094,I13,CivicResilience NGO,2022-09-24,2024-05-16,2024-08-16,1275900,65.1,92,75.76,0.285,0,1,60.84,68.17,66.67
P00102,D-050,I13,Delta Engineering,2022-05-06,2023-12-27,2024-04-19,1111900,66.92,114,52.21,0.131,0,0,57.6,62.73,59.28
P00103,D-098,I04,GreenWorks Alliance,2024-01-24,2025-11-14,2026-02-06,769600,62.86,84,65.21,0.212,0,1,50.85,61.75,59.24
P00104,D-040,I17,SunBuild Initiative,2021-11-12,2023-04-06,2023-07-24,1872500,63.24,109,43.0,0.04,0,0,35.0,43.95,37.21
P00105,D-102,I03,CivicResilience NGO,2023-02-13,2024-12-04,2025-04-06,693800,93.68,123,58.57,0.184,0,0,48.34,61.94,50.24
P00106,D-035,I16,HydroBuild Co,2022-08-30,2024-02-21,2024-06-19,738200,45.08,119,51.48,0.06,0,0,41.93,52.51,42.8
P00107,D-102,I03,GreenWorks Alliance,2021-04-18,2023-02-07,2023-05-25,978600,90.58,107,59.57,0.165,0,0,49.97,57.66,58.13
P00108,D-063,I12,HeatSafe Partners,2021-01-20,2022-05-15,2022-07-17,820800,64.93,63,57.02,0.197,0,0,65.55,62.15,64.91
P00109,D 118,I07,CivicResilience NGO,2023-03-27,2024-07-19,2024-10-23,1054900,65.16,96,66.14,0.354,0,1,64.57,65.63,58.78
P00110,D-024,I01,CommunityFirst,2023-03-28,2024-04-21,2024-06-08,1215700,71.31,48,87.7,0.295,0,1,71.47,84.9,71.55
P00111,D-082,I18,BlueRiver Implementers,2022-09-12,2024-05-04,2024-07-21,1108000,72.4,78,64.87,0.304,0,1,57.4,69.17,73.15
P00112,D-027,I09,HydroBuild Co,2022-01-22,2023-11-13,2024-04-18,588800,58.06,157,65.68,0.429,0,1,72.07,64.11,73.16
P00113,D-071,I06,CommunityFirst,2023-11-01,2025-05-24,2025-08-21,506100,92.87,89,66.69,0.5,0,1,66.48,67.0,58.62
P00114,D-085,I14,RapidRelief Local,2022-10-16,2024-07-07,2024-09-18,1257300,65.79,73,64.82,0.27,0,1,48.53,61.87,53.3
P00115,D-063,I02,InfraTrust Consortium,2023-10-30,2024-12-23,2025-02-16,1560200,83.97,55,82.47,0.39,0,1,95.97,78.32,88.42
P00116,D-044,I14,CivicResilience NGO,2021-09-30,2023-06-22,2023-09-17,1181600,81.06,87,57.75,0.132,0,0,51.57,66.21,55.2
P00117,D-104,I03,BlueRiver Implementers,2021-12-08,2023-09-29,2024-01-04,1219900,74.7,97,47.56,0.197,0,0,58.49,55.74,53.56
P00118,D-025,I08,SunBuild Initiative,2023-09-26,2025-04-18,2025-07-18,756100,61.93,91,51.4,0.099,0,0,58.07,49.27,55.2
P00119,D-044,I09,BlueRiver Implementers,2022-12-07,2024-09-27,2025-01-06,863100,88.6,101,62.56,0.274,0,1,45.92,67.81,49.81
P00120,D-112,I02,RapidRelief Local,2022-04-07,2023-06-01,2023-08-21,1985300,82.61,81,65.92,0.196,0,1,42.74,66.06,51.51
P00121,D-022,I04,CommunityFirst,2021-08-06,2023-05-28,2023-08-30,1113900,54.74,94,72.83,0.222,0,1,49.4,73.49,63.94
P00122,D-106,I09,HeatSafe Partners,2022-04-04,2024-01-24,2024-04-26,806300,68.29,93,68.38,0.393,0,1,49.05,74.81,61.53
P00123,D-017,I17,HeatSafe Partners,2021-10-20,2023-03-14,2023-06-13,2012000,88.13,91,70.37,0.274,0,1,54.22,78.2,52.83
P00124,D-050,I02,BlueRiver Implementers,2021-10-01,2022-11-25,2023-02-01,1648000,69.93,68,67.33,0.297,0,1,63.86,68.08,68.95
P00125,D-108,I07,HydroBuild Co,2023-11-12,2025-03-06,2025-04-21,1035900,97.87,46,74.36,0.28,0,1,71.2,77.81,71.82
P00126,D-024,I03,CivicResilience NGO,2023-08-03,2025-05-24,2025-09-20,819500,70.71,119,70.53,0.452,0,1,56.55,76.36,62.16
P00127,D-022,I01,CommunityFirst,2021-07-11,2022-08-05,2022-11-20,1010900,70.4,107,68.36,0.279,0,1,59.28,65.5,69.87
P00128,D-095,I08,GreenWorks Alliance,2021-09-29,2023-04-22,2023-07-23,411500,85.52,92,71.18,0.345,0,1,52.19,74.01,54.98
P00129,D-050,I07,GreenWorks Alliance,2021-03-11,2022-07-04,2022-10-10,1011000,75.27,98,58.91,0.093,0,0,50.35,52.96,56.36
P00130,D-049,I07,HydroBuild Co,2022-08-14,2023-12-07,2024-02-17,1510200,77.06,72,61.86,0.284,0,1,75.23,71.94,65.5
P00131,D-023,I11,Delta Engineering,2023-08-23,2024-10-16,2025-01-01,415600,78.52,77,72.87,0.332,0,1,46.75,74.35,74.0
P00132,D-104,I08,HeatSafe Partners,2021-09-25,2023-04-18,2023-08-17,673800,70.46,121,63.07,0.345,0,1,64.08,56.07,70.1
P00133,D-085,I15,SunBuild Initiative,2023-05-04,2024-06-27,2024-10-13,1045100,64.85,108,47.24,0.118,0,0,43.57,55.43,41.71
P00134,D-102,I17,InfraTrust Consortium,2023-09-16,2025-02-07,2025-04-02,1130400,87.2,54,63.93,0.355,0,1,82.58,67.6,68.96
P00135,D-090,I04,HeatSafe Partners,2021-11-08,2023-08-30,2023-12-09,673300,70.63,101,69.17,0.254,0,1,61.77,62.7,54.95
P00136,D-077,I14,InfraTrust Consortium,2022-04-23,2024-01-13,2024-04-06,1083200,63.51,84,98.15,0.499,0,1,82.26,93.05,78.97
P00137,D-039,I18,GreenWorks Alliance,2021-02-15,2022-10-08,2023-02-25,647000,78.34,140,48.92,0.115,0,0,46.66,51.13,45.38
P00138,D-053,I12,Delta Engineering,2022-01-16,2023-05-11,2023-05-26,1421200,66.76,15,62.55,0.363,1,1,46.75,65.25,58.36
P00139,D-046,I03,HeatSafe Partners,2023-06-24,2025-04-14,2025-08-27,829200,72.85,135,71.77,0.5,0,1,79.95,73.6,80.6
P00140,D-105,I13,RapidRelief Local,2021-09-10,2023-05-03,2023-09-27,1380600,52.39,147,44.74,0.066,0,0,38.43,45.18,39.12
P00141,D-013,I18,HeatSafe Partners,2023-11-26,2025-07-18,2025-08-10,1310400,52.58,23,77.73,0.362,1,1,59.91,77.0,74.03
P00142,D-093,I11,HeatSafe Partners,2023-06-02,2024-07-26,2024-09-06,876400,67.68,42,68.04,0.43,1,1,58.55,67.67,62.34
P00143,D-091,I01,GreenWorks Alliance,2023-11-22,2024-12-16,2025-03-18,1002100,55.65,92,71.33,0.198,0,1,66.91,66.11,69.84
P00144,D-105,I09,CivicResilience NGO,2023-09-01,2025-06-22,2025-10-07,853600,71.99,107,69.7,0.384,0,1,67.27,70.44,72.87
P00145,d080,I13,GreenWorks Alliance,2023-10-22,2025-06-13,2025-08-18,1532400,82.83,66,75.41,0.272,0,1,45.99,78.81,63.47
P00146,D-087,I04,RapidRelief Local,2022-09-15,2024-07-06,2024-11-07,585200,60.36,124,64.15,0.203,0,1,62.78,61.15,60.55
P00147,D-002,I11,CommunityFirst,2022-06-11,2023-08-05,2023-10-06,656900,68.27,62,64.17,0.396,0,1,70.71,60.29,66.94
P00148,D-018,I10,CommunityFirst,2023-03-30,2024-04-23,2024-04-24,578200,64.34,1,92.0,0.26,1,1,64.53,92.97,80.56
P00149,D-101,I18,BlueRiver Implementers,2022-09-27,2024-05-19,2024-10-04,1235300,84.11,138,69.35,0.316,0,1,66.64,66.01,72.0
P00150,D-064,I12,RapidRelief Local,2021-09-17,2023-01-10,2023-03-24,955000,63.71,73,55.34,0.17,0,0,25.37,56.28,46.76
P00151,D-004,I03,HeatSafe Partners,2021-04-11,2023-01-31,2023-06-26,457800,55.73,146,72.29,0.464,0,1,70.41,73.63,70.19
P00152,D-051,I02,GreenWorks Alliance,2023-01-17,2024-03-12,2024-04-18,1301600,55.01,37,64.78,0.274,1,1,44.85,63.5,58.47
P00153,D-024,I18,BlueRiver Implementers,2022-07-14,2024-03-05,2024-07-15,762700,88.62,132,68.99,0.228,0,1,54.45,68.03,56.08
P00154,D-055,I13,HydroBuild Co,2021-09-22,2023-05-15,2023-08-19,1402200,63.67,96,53.71,0.109,0,0,64.81,54.97,53.99
P00155,D-033,I02,CivicResilience NGO,2021-08-02,2022-09-26,2022-12-19,1533100,81.74,84,74.74,0.322,0,1,53.72,77.11,67.07
P00156,D-118,I13,CommunityFirst,2023-05-28,2025-01-17,2025-04-07,1964900,71.98,80,70.84,0.35,0,1,86.88,67.28,70.83
P00157,D-090,I12,RapidRelief Local,2022-01-17,2023-05-12,2023-08-07,1648600,68.45,87,39.4,0.133,0,0,50.08,35.06,41.75
P00158,D-045,I12,CivicResilience NGO,2022-08-11,2023-12-04,2024-01-16,1373500,68.98,43,57.89,0.154,1,0,53.28,56.69,51.38
P00159,D-026,I09,HeatSafe Partners,2022-11-28,2024-09-18,2025-01-02,661500,66.81,106,53.45,0.183,0,0,55.82,52.73,54.19
P00160,D-107,I18,HeatSafe Partners,2021-04-01,2022-11-22,2023-03-17,1192600,83.53,115,61.29,0.274,0,1,45.86,60.72,52.88
P00161,D-103,I14,HeatSafe Partners,2023-09-26,2025-06-17,2025-07-24,1017200,80.76,37,71.38,0.402,1,1,30.27,69.25,51.95
P00162,D-030,I15,RapidRelief Local,2021-01-24,2022-03-20,2022-06-17,640800,66.21,89,57.54,0.208,0,0,45.16,48.06,57.9
P00163,D-071,I15,RapidRelief Local,2023-08-15,2024-10-08,2025-01-02,1312300,94.62,86,51.34,0.149,0,0,40.31,54.84,54.91
P00164,D-097,I09,BlueRiver Implementers,2023-12-24,2025-10-14,2026-01-18,695700,54.52,96,58.17,0.197,0,0,58.52,53.14,66.02
P00165,D-036,I15,GreenWorks Alliance,2021-07-30,2022-09-23,2023-01-08,741600,94.88,107,49.72,0.185,0,0,44.96,51.29,48.13
P00166,D-118,I18,CommunityFirst,2021-07-05,2023-02-25,2023-05-16,889600,54.99,80,52.48,0.173,0,0,51.27,60.7,51.35
P00167,D-046,I08,Delta Engineering,2023-07-28,2025-02-17,2025-05-26,671700,78.04,98,46.23,0.156,0,0,33.86,41.47,41.85
P00168,d054,I01,Delta Engineering,2023-05-11,2024-06-04,2024-09-22,1782000,59.06,110,62.11,0.209,0,1,59.22,63.67,60.11
P00169,D-041,I01,CivicResilience NGO,2021-05-07,2022-06-01,2022-07-28,1120900,67.22,57,61.04,0.142,0,1,58.7,55.31,63.68
P00170,D-089,I07,CommunityFirst,2023-07-11,2024-11-02,2025-02-13,1248100,73.34,103,67.82,0.331,0,1,58.84,66.09,55.86
P00171,D-115,I18,GreenWorks Alliance,2023-11-28,2025-07-20,2025-10-10,1332800,70.31,82,59.08,0.106,0,0,42.9,61.41,51.51
P00172,D-107,I09,RapidRelief Local,2023-08-21,2025-06-11,2025-10-21,1008000,60.43,132,48.67,0.137,0,0,38.2,44.18,46.67
P00173,D-110,I15,BlueRiver Implementers,2023-05-08,2024-07-01,2024-10-10,1259500,82.88,101,59.39,0.171,0,0,46.32,56.78,57.11
P00174,D-006,I01,Delta Engineering,2022-12-21,2024-01-15,2024-04-09,1166000,79.98,85,62.54,0.201,0,1,63.32,64.53,55.24
P00175,D-058,I07,InfraTrust Consortium,2021-03-21,2022-07-14,2022-10-16,1087300,73.21,94,68.51,0.365,0,1,57.44,68.12,72.8
P00176,D-087,I11,HeatSafe Partners,2021-11-02,2022-12-27,2023-02-20,551800,76.76,55,81.95,0.434,0,1,63.07,81.32,74.82
P00177,D-045,I09,InfraTrust Consortium,2023-12-10,2025-09-30,2025-12-25,462900,67.33,86,75.77,0.475,0,1,77.64,72.81,75.58
P00178,d059,I17,RapidRelief Local,2021-01-02,2022-05-27,2022-08-20,1449800,59.74,85,65.35,0.129,0,1,51.8,70.69,58.04
P00179,D-066,I17,CommunityFirst,2023-02-02,2024-06-26,2024-09-06,1250500,83.82,72,75.7,0.359,0,1,68.6,83.31,81.34
P00180,D-107,I04,CivicResilience NGO,2021-02-09,2022-12-01,2023-03-20,672300,74.09,109,62.47,0.188,0,1,49.84,61.91,60.7
P00181,D-092,I01,SunBuild Initiative,2021-11-23,2022-12-18,2023-03-27,1104600,67.21,99,44.24,0.048,0,0,41.82,45.62,46.98
P00182,D-095,I16,SunBuild Initiative,2022-07-29,2024-01-20,2024-05-26,1014100,89.25,127,37.81,0.062,0,0,22.19,38.88,30.91
