district_code,month,flood_index,heat_index,rainfall_anomaly_z,temp_anomaly_z,ndvi,flood_events_count,heatwave_days
D-002,2023-04,77.48,51.49,1.246,-0.232,0.495,2,2
D-002,2023-05,71.68,72.62,1.62,1.724,0.34,1,6
D-002,2023-06,63.5,74.67,-0.22,0.723,0.404,5,4
D-002,2023-07,47.73,78.01,0.158,0.967,0.389,0,3
D-002,2023-08,41.75,67.11,-0.903,0.759,0.414,2,4
D-002,2023-09,39.4,53.57,0.002,0.878,0.478,1,4
D-002,2023-10,46.7,42.06,1.394,-0.691,0.511,2,4
D-002,2023-11,49.45,40.11,0.313,0.724,0.495,1,3
D-002,2023-12,60.45,38.27,0.762,0.738,0.486,5,3
D-002,2024-01,63.59,38.66,-0.243,0.238,0.457,2,2
D-002,2024-02,59.56,46.47,0.95,-0.999,0.544,1,1
D-002,2024-03,75.45,64.45,2.762,-0.185,0.404,4,3
D-002,2024-04,73.19,71.41,1.194,1.021,0.387,0,10
D-002,2024-05,64.62,83.2,1.723,0.734,0.371,2,5
D-002,2024-06,51.51,77.47,-0.318,1.89,0.389,2,3
D-002,2024-07,34.5,71.28,0.764,1.189,0.429,0,2
D-002,2024-08,33.28,70.44,0.026,1.33,0.41,1,3
D-002,2024-09,33.82,56.42,0.673,1.106,0.524,0,4
D-002,2024-10,40.37,34.3,-0.179,-0.936,0.584,1,5
D-002,2024-11,42.34,32.78,1.329,0.23,0.53,1,1
D-002,2024-12,52.28,25.3,0.683,0.162,0.569,0,1
D-003,2021-01,49.58,40.35,0.829,0.851,0.528,1,4
D-003,2021-02,67.05,47.31,1.567,-1.02,0.462,7,1
D-003,2021-03,77.07,54.88,2.071,-0.335,0.41,7,2
D-003,2021-04,79.57,64.57,3.0,0.982,0.357,1,2
D-003,2021-05,64.45,71.04,1.221,1.583,0.42,1,6
D-003,2021-06,43.78,72.23,1.484,1.252,0.399,1,6
D-003,2021-07,34.55,63.6,0.536,0.526,0.455,3,4
D-003,2021-08,29.05,53.28,0.735,1.186,0.45,0,2
D-003,2021-09,20.2,40.74,-1.28,-0.335,0.536,0,3
D-003,2021-10,34.35,28.12,-0.628,-0.96,0.551,0,1
D-003,2021-11,43.2,23.39,1.597,-0.18,0.573,1,0
D-003,2021-12,45.81,26.7,0.79,-1.164,0.628,1,2
D-003,2022-01,44.69,34.6,0.262,0.322,0.519,1,2
D-003,2022-02,64.82,46.03,1.138,-1.712,0.531,5,3
D-003,2022-03,67.78,58.99,0.384,0.369,0.431,0,3
D-003,2022-04,70.59,69.0,2.069,0.151,0.411,0,3
D-003,2022-05,71.76,80.34,0.378,1.683,0.343,3,2
D-003,2022-06,53.31,66.25,1.304,1.009,0.362,1,6
D-003,2022-07,40.2,55.05,0.296,0.233,0.43,3,2
D-003,2022-08,32.32,55.31,-0.222,0.967,0.474,2,1
D-003,2022-09,34.93,51.15,-0.084,0.55,0.551,0,0
D-003,2022-10,44.4,36.92,1.596,-0.173,0.517,1,3
D-003,2022-11,48.74,34.78,-0.2,-0.429,0.601,1,6
D-003,2022-12,59.12,30.06,1.196,0.735,0.609,2,0
D-003,2023-01,69.06,33.74,0.691,-0.056,0.526,1,2
D-003,2023-02,59.73,41.13,0.479,0.134,0.536,1,2
D-003,2023-03,70.23,60.8,1.577,0.771,0.446,4,3
D-003,2023-04,70.79,66.06,1.533,0.139,0.366,4,3
D-003,2023-05,63.86,74.88,0.538,2.195,0.408,0,5
D-003,2023-06,51.62,77.27,0.765,1.444,0.393,0,1
D-003,2023-07,44.12,69.82,0.753,0.604,0.402,2,3
D-003,2023-08,27.23,65.35,0.006,-0.443,0.455,1,3
D-003,2023-09,25.04,56.06,-1.274,1.01,0.484,0,6
D-003,2023-10,34.2,43.61,-1.647,0.416,0.522,0,2
D-003,2023-11,45.58,34.87,0.374,0.314,0.57,0,2
D-003,2023-12,50.1,27.86,1.325,-1.419,0.583,3,1
D-003,2024-01,70.02,33.25,1.367,-0.302,0.551,1,3
D-003,2024-02,71.71,44.76,0.949,-0.526,0.495,2,2
D-003,2024-03,69.97,54.0,0.772,0.989,0.437,2,3
D-003,2024-04,72.98,66.89,2.226,0.589,0.411,2,6
D-003,2024-05,65.63,75.16,1.761,0.761,0.369,0,5
D-003,2024-06,63.8,85.66,1.07,1.94,0.339,0,4
D-003,2024-07,48.0,82.46,-1.013,1.245,0.36,1,7
D-003,2024-08,31.59,75.27,-0.496,1.47,0.389,1,4
D-003,2024-09,27.81,56.92,-0.65,-0.158,0.46,1,5
D-003,2024-10,30.25,48.76,-1.374,-0.213,0.517,0,3
D-003,2024-11,38.63,40.21,0.201,-0.581,0.559,1,1
D-003,2024-12,52.66,32.87,0.859,-1.303,0.56,1,5
D-004,2021-01,42.35,47.01,-0.95,1.048,0.488,1,7
D-004,2021-02,54.63,49.11,0.38,-0.442,0.487,0,8
D-004,2021-03,50.98,60.5,1.635,0.874,0.452,1,4
D-004,2021-04,41.5,72.02,2.289,1.088,0.416,2,4
D-004,2021-05,35.53,74.66,-0.522,0.22,0.403,0,2
D-004,2021-06,35.12,73.29,-0.992,0.223,0.403,0,1
D-004,2021-07,29.84,66.88,0.089,0.844,0.461,2,2
D-004,2021-08,18.89,65.68,0.451,0.043,0.491,2,7
D-004,2021-09,9.78,57.21,-1.734,-0.708,0.513,0,4
D-004,2021-10,8.73,39.06,-1.313,0.218,0.575,1,2
D-004,2021-11,11.61,31.87,-1.835,-0.11,0.579,1,2
D-004,2021-12,26.6,29.87,-0.11,-0.94,0.55,2,4
D-004,2022-01,42.08,35.38,0.115,-1.394,0.522,0,5
D-004,2022-02,50.23,45.16,0.984,-1.245,0.595,3,3
D-004,2022-03,46.93,55.0,0.285,0.21,0.455,1,5
D-004,2022-04,55.39,56.85,0.797,0.079,0.466,3,2
D-004,2022-05,54.41,63.81,-0.089,0.412,0.463,3,4
D-004,2022-06,41.68,73.2,-0.198,1.162,0.446,1,6
D-004,2022-07,37.31,75.52,0.939,1.688,0.41,1,6
D-004,2022-08,26.37,59.61,0.507,1.159,0.509,1,2
D-004,2022-09,23.26,47.26,-1.424,-1.193,0.492,0,5
D-004,2022-10,15.18,38.8,-0.589,-1.13,0.537,0,3
D-004,2022-11,27.98,37.93,-0.903,-0.842,0.516,0,3
D-004,2022-12,43.32,38.73,-0.054,-1.204,0.527,5,4
D-004,2023-01,36.99,44.95,0.347,-0.388,0.49,1,3
D-004,2023-02,49.78,49.07,1.245,-0.29,0.545,2,4
D-004,2023-03,52.14,57.47,2.25,0.467,0.463,1,2
D-004,2023-04,50.6,67.72,0.051,0.111,0.455,5,6
D-004,2023-05,39.48,73.37,-0.224,1.22,0.406,0,5
D-004,2023-06,34.35,69.59,-1.724,1.847,0.437,3,4
D-004,2023-07,29.67,67.04,1.176,-0.958,0.475,1,4
D-004,2023-08,17.52,62.93,-0.784,1.146,0.474,0,5
D-004,2023-09,16.82,48.99,-1.039,0.132,0.534,0,8
D-004,2023-10,11.36,39.87,-0.26,-0.979,0.514,2,3
D-004,2023-11,20.91,43.76,-0.065,0.165,0.522,2,1
D-004,2023-12,38.96,34.83,-0.772,-0.254,0.547,2,1
D-004,2024-01,58.5,38.88,-0.117,-1.236,0.51,0,0
D-004,2024-02,58.45,45.1,1.775,-0.804,0.484,2,4
D-004,2024-03,60.23,53.09,0.598,0.626,0.421,3,1
D-004,2024-04,48.04,52.86,-0.406,0.301,0.479,0,0
D-004,2024-05,43.01,66.88,-0.387,-0.266,0.452,2,6
D-004,2024-06,33.79,72.64,0.722,0.139,0.429,1,3
D-004,2024-07,24.25,67.69,0.013,0.522,0.467,1,2
D-004,2024-08,10.04,61.18,-1.379,1.338,0.493,0,2
D-004,2024-09,3.42,46.57,-1.465,0.019,0.545,0,1
D-004,2024-10,10.28,36.13,-1.533,-0.645,0.564,0,0
D-004,2024-11,12.2,34.68,-0.454,0.127,0.575,0,2
D-004,2024-12,28.33,29.17,0.159,0.005,0.654,1,1
D-005,2021-01,68.06,27.2,0.822,-0.51,0.566,1,4
D-005,2021-02,81.57,33.15,2.207,-1.19,0.485,2,2
D-005,2021-03,88.71,36.68,1.747,0.049,0.49,2,4
D-005,2021-04,90.5,48.79,3.0,1.991,0.468,3,5
D-005,2021-05,77.33,65.91,2.38,0.632,0.404,1,4
D-005,2021-06,63.91,59.74,1.805,-0.149,0.428,1,4
D-005,2021-07,56.6,61.46,0.766,0.192,0.403,0,3
D-005,2021-08,45.27,53.78,-0.265,0.199,0.491,1,6
D-005,2021-09,37.22,42.28,0.475,-0.801,0.521,1,2
D-005,2021-10,36.6,39.35,0.034,-0.526,0.549,0,2
D-005,2021-11,52.0,30.0,-0.64,-0.698,0.565,0,4
D-005,2021-12,64.55,16.93,0.337,-0.583,0.635,2,1
D-005,2022-01,70.05,17.96,2.192,-0.463,0.612,2,2
D-005,2022-02,75.0,33.52,1.841,-1.293,0.529,3,2
D-005,2022-03,76.61,40.92,2.607,-1.271,0.549,2,3
D-005,2022-04,78.85,53.44,1.587,1.002,0.466,0,1
D-005,2022-05,79.68,70.72,1.324,0.968,0.355,2,2
D-005,2022-06,77.36,83.55,1.038,-0.169,0.349,4,3
D-005,2022-07,56.33,77.61,0.357,0.485,0.4,2,5
D-005,2022-08,53.4,59.88,1.456,0.351,0.459,1,3
D-005,2022-09,37.45,47.07,0.942,-0.035,0.478,1,3
D-005,2022-10,37.34,32.11,-0.346,-0.998,0.525,1,1
D-005,2022-11,36.4,20.42,-0.557,0.226,0.594,2,0
D-005,2022-12,52.25,26.12,0.343,-0.255,0.594,0,5
D-005,2023-01,63.75,19.87,1.143,0.538,0.63,3,1
D-005,2023-02,73.99,38.76,1.826,-0.011,0.539,1,0
D-005,2023-03,87.68,52.41,1.009,0.066,0.383,0,2
D-005,2023-04,85.64,59.45,2.172,0.535,0.442,2,3
D-005,2023-05,83.73,72.04,2.701,1.748,0.356,0,3
D-005,2023-06,70.56,78.36,1.462,0.078,0.328,2,3
D-005,2023-07,63.36,76.98,0.608,0.827,0.421,2,5
D-005,2023-08,41.53,65.62,-0.171,1.25,0.423,0,5
D-005,2023-09,49.63,48.0,-0.301,0.013,0.519,1,4
D-005,2023-10,39.7,33.97,-0.544,-1.474,0.504,4,1
D-005,2023-11,40.44,29.16,1.472,-1.032,0.513,0,1
D-005,2023-12,47.54,22.48,1.055,0.94,0.626,2,0
D-005,2024-01,60.86,25.41,-0.546,-2.395,0.577,0,1
D-005,2024-02,72.0,29.48,0.355,-0.043,0.509,1,5
D-005,2024-03,80.72,49.96,2.67,-1.558,0.489,0,2
D-005,2024-04,80.68,58.88,1.021,0.333,0.419,1,1
D-005,2024-05,62.86,63.34,2.675,0.998,0.484,1,9
D-005,2024-06,49.9,77.42,0.174,1.003,0.374,0,1
D-005,2024-07,41.22,68.56,-0.476,0.102,0.382,0,1
D-005,2024-08,29.59,66.19,-0.024,1.623,0.416,1,1
D-005,2024-09,21.99,60.88,-0.751,0.839,0.487,1,6
D-005,2024-10,19.62,43.27,-0.311,0.067,0.52,0,0
D-005,2024-11,27.57,39.44,-1.244,-0.721,0.55,4,3
D-005,2024-12,33.13,33.29,0.888,0.816,0.593,1,1
D-006,2021-01,76.94,69.19,2.629,0.796,0.387,1,6
D-006,2021-02,86.38,65.51,2.945,1.049,0.389,4,3
D-006,2021-03,79.72,62.11,2.145,1.964,0.427,1,5
D-006,2021-04,87.14,83.84,1.768,2.821,0.386,1,7
D-006,2021-05,75.47,87.96,1.303,1.541,0.319,4,5
D-006,2021-06,60.56,91.35,1.208,0.373,0.354,5,9
D-006,2021-07,41.74,92.25,0.726,1.545,0.36,0,5
D-006,2021-08,37.15,80.06,-0.205,2.156,0.414,1,2
D-006,2021-09,36.56,64.74,-0.904,0.592,0.466,1,6
D-006,2021-10,59.15,53.57,1.571,-0.322,0.452,3,2
D-006,2021-11,58.91,48.16,-0.69,-0.953,0.49,2,2
D-006,2021-12,66.91,43.56,0.404,-1.318,0.452,0,3
D-006,2022-01,77.76,47.45,0.695,-0.141,0.478,2,5
D-006,2022-02,81.85,59.71,1.077,0.576,0.367,3,4
D-006,2022-03,83.11,64.43,2.686,0.613,0.434,1,2
D-006,2022-04,77.74,79.39,2.011,1.277,0.384,3,4
D-006,2022-05,73.38,93.54,0.163,2.599,0.344,3,4
D-006,2022-06,67.71,89.65,2.002,1.811,0.363,0,4
D-006,2022-07,58.67,85.61,1.442,0.918,0.368,1,5
D-006,2022-08,48.33,75.67,-1.245,1.668,0.397,0,2
D-006,2022-09,51.35,64.02,1.147,-0.631,0.453,3,4
D-006,2022-10,54.37,50.68,0.29,0.127,0.492,0,3
D-006,2022-11,58.74,40.2,1.213,-0.931,0.542,1,3
D-006,2022-12,78.21,44.44,1.687,-1.271,0.533,2,5
D-006,2023-01,81.43,54.59,1.866,-0.213,0.473,1,4
D-006,2023-02,88.29,65.45,0.89,1.595,0.377,1,3
D-006,2023-03,88.07,76.64,2.426,0.881,0.361,1,4
D-006,2023-04,91.54,90.16,1.994,1.844,0.36,4,2
D-006,2023-05,86.19,97.02,2.533,3.0,0.291,2,4
D-006,2023-06,68.92,100.0,1.466,1.718,0.312,2,6
D-006,2023-07,54.91,97.96,0.295,0.934,0.352,3,5
D-006,2023-08,50.37,81.91,0.465,0.134,0.379,2,4
D-006,2023-09,42.32,70.85,0.984,0.048,0.418,0,8
D-006,2023-10,45.19,69.82,0.655,1.663,0.396,3,3
D-006,2023-11,51.44,58.82,-0.158,-0.183,0.457,1,3
D-006,2023-12,51.63,60.03,-0.601,0.509,0.465,3,7
D-006,2024-01,63.65,61.47,1.748,1.025,0.453,2,2
D-006,2024-02,81.99,65.55,0.525,-1.251,0.464,4,3
D-006,2024-03,80.44,77.54,1.701,0.29,0.358,0,3
D-006,2024-04,78.07,87.8,1.116,1.517,0.314,2,4
D-006,2024-05,74.85,95.32,1.164,1.448,0.294,0,9
D-006,2024-06,61.81,100.0,0.492,3.0,0.374,1,5
D-006,2024-07,52.41,100.0,-0.078,2.323,0.344,1,3
D-006,2024-08,51.65,87.19,0.621,1.978,0.35,3,6
D-006,2024-09,48.77,71.98,-1.161,1.14,0.363,1,1
D-006,2024-10,49.82,67.05,1.08,0.493,0.442,2,2
D-006,2024-11,62.47,56.68,1.264,1.608,0.449,1,4
D-006,2024-12,72.44,61.71,0.95,0.548,0.454,1,1
D-007,2021-01,67.91,24.2,1.599,-0.92,0.566,3,5
D-007,2021-02,76.76,26.92,1.642,-0.275,0.578,0,2
D-007,2021-03,73.58,25.38,1.223,-1.374,0.582,4,1
D-007,2021-04,72.19,44.82,1.909,1.311,0.492,1,4
D-007,2021-05,68.46,56.23,0.809,0.759,0.415,5,5
D-007,2021-06,66.64,57.02,1.695,0.235,0.467,0,2
D-007,2021-07,58.77,54.01,0.95,0.014,0.394,1,1
D-007,2021-08,53.27,40.08,0.374,-1.074,0.462,0,5
D-007,2021-09,36.81,30.47,0.311,-1.496,0.594,2,1
D-007,2021-10,38.46,26.61,-1.358,0.008,0.605,2,0
D-007,2021-11,47.07,19.43,1.66,-0.66,0.589,1,2
D-007,2021-12,47.26,15.74,-0.537,0.358,0.579,1,0
D-007,2022-01,62.84,10.26,0.765,-0.244,0.604,1,0
D-007,2022-02,83.3,26.67,0.263,-0.858,0.596,0,3
D-007,2022-03,93.65,32.23,2.265,0.759,0.53,7,2
D-007,2022-04,87.45,39.99,1.081,-0.499,0.462,2,4
D-007,2022-05,77.48,58.83,1.81,0.172,0.438,3,0
D-007,2022-06,71.79,59.2,0.056,1.69,0.456,6,1
D-007,2022-07,52.13,50.0,0.484,0.091,0.488,4,3
D-007,2022-08,35.71,44.49,0.35,-0.17,0.481,0,2
D-007,2022-09,40.86,34.96,0.925,-0.391,0.542,1,1
D-007,2022-10,43.34,20.31,0.6,-1.245,0.589,0,1
D-007,2022-11,42.05,15.03,-0.082,-1.565,0.577,0,0
D-007,2022-12,54.69,13.65,1.771,-0.045,0.637,4,0
D-007,2023-01,62.66,16.86,1.078,-0.804,0.6,0,1
D-007,2023-02,67.99,26.93,0.628,-2.048,0.509,1,1
D-007,2023-03,77.22,35.46,1.984,0.708,0.551,1,1
D-007,2023-04,84.21,47.91,1.404,0.674,0.436,2,2
D-007,2023-05,79.63,54.23,1.599,-0.296,0.505,3,6
D-007,2023-06,69.17,58.33,0.41,0.608,0.438,1,6
D-007,2023-07,60.59,56.97,-0.422,-0.16,0.465,0,2
D-007,2023-08,38.34,46.02,-0.147,-1.213,0.523,0,2
D-007,2023-09,35.65,38.62,0.292,-0.62,0.539,3,0
D-007,2023-10,35.63,22.99,-1.664,-2.158,0.55,0,2
D-007,2023-11,31.84,14.94,1.122,-1.174,0.597,0,0
D-007,2023-12,40.91,14.41,1.559,0.272,0.56,0,0
D-007,2024-01,54.21,27.06,-0.204,-0.124,0.552,0,3
D-007,2024-02,70.93,33.04,1.416,0.448,0.469,4,1
D-007,2024-03,72.9,37.87,2.555,-1.654,0.555,0,2
D-007,2024-04,68.09,59.8,0.428,0.593,0.463,2,2
D-007,2024-05,60.07,61.99,0.929,1.34,0.417,1,0
D-007,2024-06,59.46,62.72,-0.033,-0.148,0.39,0,4
D-007,2024-07,50.72,53.95,-0.043,0.693,0.433,1,3
D-007,2024-08,53.39,50.64,0.003,-1.133,0.469,3,1
D-007,2024-09,51.2,43.41,1.003,-0.816,0.522,1,2
D-007,2024-10,49.15,33.96,0.052,-1.259,0.548,1,0
D-007,2024-11,45.34,24.88,0.087,-1.209,0.581,0,4
D-007,2024-12,56.82,28.96,0.167,-0.733,0.579,2,2
D-008,2021-01,74.76,58.78,1.591,0.313,0.415,2,5
D-008,2021-02,79.84,61.85,1.123,1.995,0.4,4,3
D-008,2021-03,82.68,67.27,1.197,0.757,0.413,2,3
D-008,2021-04,88.44,71.88,1.955,0.664,0.396,1,4
D-008,2021-05,80.02,79.27,2.176,1.438,0.325,3,3
D-008,2021-06,64.57,88.76,0.818,2.459,0.343,1,5
D-008,2021-07,47.15,95.76,1.805,2.697,0.29,2,3
D-008,2021-08,46.78,84.42,-0.52,0.746,0.348,0,5
D-008,2021-09,38.33,70.26,-0.147,1.139,0.386,0,5
D-008,2021-10,36.7,71.17,-0.814,0.747,0.481,2,4
D-008,2021-11,51.88,58.02,-0.701,-0.195,0.525,1,4
D-008,2021-12,63.89,42.71,1.458,0.085,0.463,1,2
D-008,2022-01,74.59,48.95,1.896,1.01,0.52,1,1
D-008,2022-02,88.14,54.63,1.847,0.146,0.464,4,1
D-008,2022-03,94.99,68.14,1.643,0.75,0.413,1,3
D-008,2022-04,97.09,83.91,2.269,0.765,0.385,2,6
D-008,2022-05,86.93,95.44,1.385,1.477,0.317,3,6
D-008,2022-06,68.34,100.0,2.064,1.804,0.287,3,4
D-008,2022-07,62.77,100.0,0.968,2.329,0.284,1,11
D-008,2022-08,55.81,97.55,-0.002,2.572,0.321,0,4
D-008,2022-09,41.67,85.18,-0.378,1.724,0.357,0,6
D-008,2022-10,43.39,73.61,1.065,1.427,0.327,0,5
D-008,2022-11,55.17,69.04,0.492,1.074,0.403,2,2
D-008,2022-12,67.36,59.03,2.07,1.34,0.485,1,3
D-008,2023-01,68.88,62.86,1.639,0.717,0.428,2,4
D-008,2023-02,87.69,76.07,0.906,1.091,0.352,0,4
D-008,2023-03,96.14,86.52,2.373,1.003,0.287,3,3
D-008,2023-04,85.33,100.0,-0.006,2.644,0.269,1,10
D-008,2023-05,84.69,100.0,2.856,2.538,0.253,1,5
D-008,2023-06,75.63,100.0,1.525,2.505,0.296,4,9
D-008,2023-07,54.27,100.0,0.793,2.704,0.339,2,6
D-008,2023-08,47.82,99.3,1.014,2.562,0.249,0,3
D-008,2023-09,43.19,88.69,-0.022,1.017,0.379,1,5
D-008,2023-10,39.35,75.29,-0.161,0.285,0.434,1,6
D-008,2023-11,50.07,66.64,-0.302,1.453,0.417,1,5
D-008,2023-12,63.68,64.6,1.839,-0.278,0.427,1,2
D-008,2024-01,72.49,61.75,1.441,1.606,0.385,1,4
D-008,2024-02,88.53,72.76,1.493,0.764,0.336,3,8
D-008,2024-03,86.02,80.47,2.435,1.29,0.357,2,8
D-008,2024-04,82.74,87.87,1.478,1.814,0.34,1,2
D-008,2024-05,78.93,100.0,1.13,1.8,0.324,1,4
D-008,2024-06,80.48,100.0,2.381,1.321,0.265,2,0
D-008,2024-07,73.33,98.61,2.277,2.648,0.3,4,8
D-008,2024-08,54.21,93.09,0.222,1.24,0.331,2,6
D-008,2024-09,40.17,81.38,0.695,1.074,0.383,1,5
D-008,2024-10,51.84,76.44,0.732,0.968,0.441,0,3
D-008,2024-11,55.46,70.18,0.111,0.537,0.417,1,2
D-008,2024-12,65.7,75.32,2.762,-0.318,0.388,1,5
D-009,2021-01,61.29,51.86,0.929,0.262,0.523,4,3
D-009,2021-02,65.73,51.33,-0.212,-0.164,0.41,3,4
D-009,2021-03,67.17,61.75,1.764,-0.6,0.445,2,2
D-009,2021-04,63.34,70.85,0.638,1.778,0.387,3,7
D-009,2021-05,58.19,77.35,-0.714,0.982,0.44,1,5
D-009,2021-06,46.38,69.2,-0.33,1.288,0.426,1,5
D-009,2021-07,29.83,65.63,0.16,1.115,0.394,0,2
D-009,2021-08,23.19,54.12,-0.596,1.314,0.546,0,6
D-009,2021-09,30.26,52.35,-0.286,0.409,0.546,0,6
D-009,2021-10,37.91,47.63,0.564,0.452,0.489,1,1
D-009,2021-11,45.84,30.85,-0.331,-0.337,0.607,1,1
D-009,2021-12,55.23,30.14,0.666,-0.563,0.529,1,2
D-009,2022-01,64.79,33.2,0.087,-0.081,0.504,0,0
D-009,2022-02,76.21,44.4,1.216,-0.325,0.47,0,2
D-009,2022-03,80.93,61.52,1.328,1.015,0.392,3,1
D-009,2022-04,68.47,66.98,2.072,-0.185,0.433,0,6
D-009,2022-05,61.56,64.73,0.581,-0.019,0.435,2,5
D-009,2022-06,55.2,64.58,0.553,1.3,0.448,2,3
D-009,2022-07,43.33,66.03,0.322,-0.092,0.408,1,5
D-009,2022-08,42.7,62.23,1.026,1.293,0.445,1,4
D-009,2022-09,33.07,53.32,0.003,1.331,0.454,1,2
D-009,2022-10,25.9,38.37,-0.05,-1.276,0.542,0,3
D-009,2022-11,34.41,37.9,-1.227,0.211,0.539,1,2
D-009,2022-12,43.4,27.87,0.303,-0.401,0.518,1,5
D-009,2023-01,51.03,39.08,-0.999,-1.784,0.548,0,1
D-009,2023-02,62.04,45.87,1.181,-0.345,0.436,1,2
D-009,2023-03,60.82,57.2,0.352,0.481,0.463,1,0
D-009,2023-04,66.79,69.41,2.406,0.629,0.385,2,1
D-009,2023-05,53.63,83.29,1.394,1.922,0.362,3,5
