snippet_id,source_file,district_id,text,risk_category
S0124,field_note_055.txt,D056,environmental permitting is pending at the provincial office.,permitting_regulatory
S0125,field_note_083.txt,D071,participation in training sessions is lower than expected.,community_buy_in
S0126,field_note_037.txt,D102,field engineers require additional technical support.,partner_capacity
S0127,field_note_002.txt,D047,baseline survey coverage is below the minimum threshold.,m_e_data_gaps
S0128,field_note_035.txt,D067,a heatwave reduced labor productivity and shifted work hours.,extreme_event_disruption
S0129,field_note_014.txt,D063,community meetings revealed resistance to the proposed site.,community_buy_in
S0130,field_note_046.txt,D072,right-of-way approvals are incomplete for the planned alignment.,permitting_regulatory
S0131,field_note_082.txt,D049,asset registers do not match delivered quantities.,governance_fraud
S0132,field_note_042.txt,D007,critical components are back-ordered with the supplier.,supply_chain
S0133,field_note_060.txt,D088,materials delivered were below specification and had to be replaced.,contractor_quality
S0134,field_note_068.txt,D045,transport disruptions are impacting delivery schedules.,supply_chain
S0135,field_note_038.txt,D013,partner team is understaffed and reporting is delayed.,partner_capacity
S0136,field_note_006.txt,D011,anomalies were detected in invoice amounts compared to market rates.,governance_fraud
S0137,field_note_073.txt,D068,flooding disrupted access roads and halted work for several days.,extreme_event_disruption
S0138,field_note_059.txt,D050,asset registers do not match delivered quantities.,governance_fraud
S0139,field_note_003.txt,D062,cement deliveries are delayed due to regional shortages.,supply_chain
S0140,field_note_018.txt,D115,disbursement to the implementing partner is delayed.,financing_disbursement
S0141,field_note_012.txt,D014,monitoring data is incomplete for the last reporting cycle.,m_e_data_gaps
S0142,field_note_003.txt,D069,partner team is understaffed and reporting is delayed.,partner_capacity
S0143,field_note_078.txt,D096,rework was required due to poor drainage gradients.,contractor_quality
S0144,field_note_020.txt,D016,budget reallocation approvals are pending.,financing_disbursement
S0145,field_note_042.txt,D061,regulators requested additional documentation and site visits.,permitting_regulatory
S0146,field_note_089.txt,D115,flooding disrupted access roads and halted work for several days.,extreme_event_disruption
S0147,field_note_066.txt,D052,right-of-way approvals are incomplete for the planned alignment.,permitting_regulatory
S0148,field_note_063.txt,D054,procurement is delayed due to vendor bidding disputes.,procurement_delay
S0149,field_note_057.txt,D077,community meetings revealed resistance to the proposed site.,community_buy_in
S0150,field_note_076.txt,D099,materials delivered were below specification and had to be replaced.,contractor_quality
