district_code,district_name,region,country,intervention_id,intervention_name,hazard_focus,cost,risk_reduction,impl_months,delivery_prob,predicted_on_time
D-003,District 003,South,Belvaria,I05,Early Warning System Upgrade (Standard),both,488000,0.19,22,0.00833422395405753,0
D-003,District 003,South,Belvaria,I06,Critical Facility Resilience (Enhanced),both,471000,0.277,19,0.03773238889714081,0
D-003,District 003,South,Belvaria,I07,Green Infrastructure (Urban) (Basic),both,880000,0.162,16,0.05783995083162279,0
D-003,District 003,South,Belvaria,I08,Water Storage & Distribution (Standard),both,381000,0.206,19,0.008157279172083531,0
D-003,District 003,South,Belvaria,I09,Community Response Training (Enhanced),both,518000,0.197,22,0.0014290901476641793,0
D-003,District 003,South,Belvaria,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,13,0.7674248621183101,1
D-003,District 003,South,Belvaria,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,14,0.07498712328612543,0
D-003,District 003,South,Belvaria,I12,Reflective Road Surface (Enhanced),heat,1042000,0.2,16,0.3263727868147085,0
D-003,District 003,South,Belvaria,I13,Drainage Rehabilitation (Basic),flood,1113000,0.152,20,0.012908500280912843,0
D-003,District 003,South,Belvaria,I14,River Embankment Reinforcement (Standard),flood,897000,0.198,21,0.010749672134602884,0
D-003,District 003,South,Belvaria,I15,Flood Shelter Retrofit (Enhanced),flood,777000,0.243,14,0.0563294437986393,0
D-003,District 003,South,Belvaria,I16,Watershed Reforestation (Basic),flood,603000,0.147,18,0.012385891784199443,0
D-003,District 003,South,Belvaria,I17,Early Warning System Upgrade (Standard),both,1279000,0.138,17,0.0648951510489998,0
D-003,District 003,South,Belvaria,I18,Critical Facility Resilience (Enhanced),both,694000,0.167,20,0.009485261382924066,0
D-004,District 004,South,Azuria,I01,Drainage Rehabilitation (Basic),flood,969000,0.12,13,0.13541428173914824,0
D-004,District 004,South,Azuria,I02,River Embankment Reinforcement (Standard),flood,1263000,0.149,14,0.4627455461535651,0
D-004,District 004,South,Azuria,I03,Flood Shelter Retrofit (Enhanced),flood,638000,0.24,22,0.015599499791815664,0
D-004,District 004,South,Azuria,I04,Watershed Reforestation (Basic),flood,459000,0.118,22,0.021512038749384278,0
D-004,District 004,South,Azuria,I05,Early Warning System Upgrade (Standard),both,488000,0.19,22,0.014470448907316254,0
D-004,District 004,South,Azuria,I06,Critical Facility Resilience (Enhanced),both,471000,0.277,19,0.06411414140446924,0
D-004,District 004,South,Azuria,I07,Green Infrastructure (Urban) (Basic),both,880000,0.162,16,0.09686530873303272,0
D-004,District 004,South,Azuria,I08,Water Storage & Distribution (Standard),both,381000,0.206,19,0.01416508621070006,0
D-004,District 004,South,Azuria,I09,Community Response Training (Enhanced),both,518000,0.197,22,0.002494070427267117,0
D-004,District 004,South,Azuria,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,13,0.852176214779806,1
D-004,District 004,South,Azuria,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,14,0.12405850088010881,0
D-004,District 004,South,Azuria,I12,Reflective Road Surface (Enhanced),heat,1042000,0.2,16,0.45842336671974093,0
D-004,District 004,South,Azuria,I13,Drainage Rehabilitation (Basic),flood,1113000,0.152,20,0.02233675982732038,0
D-004,District 004,South,Azuria,I14,River Embankment Reinforcement (Standard),flood,897000,0.198,21,0.018630903032958803,0
D-004,District 004,South,Azuria,I15,Flood Shelter Retrofit (Enhanced),flood,777000,0.243,14,0.09443779896961768,0
D-004,District 004,South,Azuria,I16,Watershed Reforestation (Basic),flood,603000,0.147,18,0.021440733643515925,0
D-004,District 004,South,Azuria,I17,Early Warning System Upgrade (Standard),both,1279000,0.138,17,0.10813439750943571,0
D-004,District 004,South,Azuria,I18,Critical Facility Resilience (Enhanced),both,694000,0.167,20,0.01645489644587051,0
D-005,District 005,South,Azuria,I01,Drainage Rehabilitation (Basic),flood,969000,0.12,13,0.10826894048106103,0
D-005,District 005,South,Azuria,I02,River Embankment Reinforcement (Standard),flood,1263000,0.149,14,0.40036868863221226,0
D-005,District 005,South,Azuria,I03,Flood Shelter Retrofit (Enhanced),flood,638000,0.24,22,0.012135282791569479,0
D-005,District 005,South,Azuria,I04,Watershed Reforestation (Basic),flood,459000,0.118,22,0.016757161552525254,0
D-005,District 005,South,Azuria,I05,Early Warning System Upgrade (Standard),both,488000,0.19,22,0.011254096382863168,0
D-005,District 005,South,Azuria,I06,Critical Facility Resilience (Enhanced),both,471000,0.277,19,0.05042807515058722,0
D-005,District 005,South,Azuria,I07,Green Infrastructure (Urban) (Basic),both,880000,0.162,16,0.07676146348667373,0
D-005,District 005,South,Azuria,I08,Water Storage & Distribution (Standard),both,381000,0.206,19,0.011015848118416808,0
D-005,District 005,South,Azuria,I09,Community Response Training (Enhanced),both,518000,0.197,22,0.0019344871805669246,0
D-005,District 005,South,Azuria,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,13,0.8171471957678583,1
D-005,District 005,South,Azuria,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,14,0.09892908212145725,0
D-005,District 005,South,Azuria,I12,Reflective Road Surface (Enhanced),heat,1042000,0.2,16,0.3961994743264009,0
D-005,District 005,South,Azuria,I13,Drainage Rehabilitation (Basic),flood,1113000,0.152,20,0.017402833919927953,0
D-005,District 005,South,Azuria,I14,River Embankment Reinforcement (Standard),flood,897000,0.198,21,0.014503413587186086,0
D-005,District 005,South,Azuria,I15,Flood Shelter Retrofit (Enhanced),flood,777000,0.243,14,0.07479604444693207,0
D-005,District 005,South,Azuria,I16,Watershed Reforestation (Basic),flood,603000,0.147,18,0.016701348236743848,0
D-005,District 005,South,Azuria,I17,Early Warning System Upgrade (Standard),both,1279000,0.138,17,0.08591420766173995,0
D-005,District 005,South,Azuria,I18,Critical Facility Resilience (Enhanced),both,694000,0.167,20,0.012803190165678683,0
D-006,District 006,North,Belvaria,I01,Drainage Rehabilitation (Basic),flood,969000,0.12,13,0.055673513516553495,0
D-006,District 006,North,Belvaria,I02,River Embankment Reinforcement (Standard),flood,1263000,0.149,14,0.24483526416943666,0
D-006,District 006,North,Belvaria,I03,Flood Shelter Retrofit (Enhanced),flood,638000,0.24,22,0.005929608652996853,0
D-006,District 006,North,Belvaria,I04,Watershed Reforestation (Basic),flood,459000,0.118,22,0.008207613571403122,0
D-006,District 006,North,Belvaria,I05,Early Warning System Upgrade (Standard),both,488000,0.19,22,0.005496531248619018,0
D-006,District 006,North,Belvaria,I06,Critical Facility Resilience (Enhanced),both,471000,0.277,19,0.025138756802715954,0
D-006,District 006,North,Belvaria,I07,Green Infrastructure (Urban) (Basic),both,880000,0.162,16,0.03880582480419981,0
D-006,District 006,North,Belvaria,I08,Water Storage & Distribution (Standard),both,381000,0.206,19,0.0053795069929105325,0
D-006,District 006,North,Belvaria,I09,Community Response Training (Enhanced),both,518000,0.197,22,0.0009402746438367305,0
D-006,District 006,North,Belvaria,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,13,0.6845403003970193,1
D-006,District 006,North,Belvaria,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,14,0.05061329576516579,0
D-006,District 006,North,Belvaria,I12,Reflective Road Surface (Enhanced),heat,1042000,0.2,16,0.24163302319205512,0
D-006,District 006,North,Belvaria,I13,Drainage Rehabilitation (Basic),flood,1113000,0.152,20,0.008526718970660319,0
D-006,District 006,North,Belvaria,I14,River Embankment Reinforcement (Standard),flood,897000,0.198,21,0.0070954358924587195,0
D-006,District 006,North,Belvaria,I15,Flood Shelter Retrofit (Enhanced),flood,777000,0.243,14,0.037772470795866264,0
D-006,District 006,North,Belvaria,I16,Watershed Reforestation (Basic),flood,603000,0.147,18,0.008180039450916377,0
D-006,District 006,North,Belvaria,I17,Early Warning System Upgrade (Standard),both,1279000,0.138,17,0.04364683876704258,0
D-006,District 006,North,Belvaria,I18,Critical Facility Resilience (Enhanced),both,694000,0.167,20,0.00625812895571738,0
D-007,District 007,West,Cordania,I01,Drainage Rehabilitation (Basic),flood,969000,0.12,13,0.09255902264991252,0
D-007,District 007,West,Cordania,I02,River Embankment Reinforcement (Standard),flood,1263000,0.149,14,0.35935496403842604,0
D-007,District 007,West,Cordania,I03,Flood Shelter Retrofit (Enhanced),flood,638000,0.24,22,0.010214657873167375,0
D-007,District 007,West,Cordania,I04,Watershed Reforestation (Basic),flood,459000,0.118,22,0.014115494145862625,0
D-007,District 007,West,Cordania,I05,Early Warning System Upgrade (Standard),both,488000,0.19,22,0.009471597759673177,0
D-007,District 007,West,Cordania,I06,Critical Facility Resilience (Enhanced),both,471000,0.277,19,0.04270895093850885,0
D-007,District 007,West,Cordania,I07,Green Infrastructure (Urban) (Basic),both,880000,0.162,16,0.06528858396617532,0
D-007,District 007,West,Cordania,I08,Water Storage & Distribution (Standard),both,381000,0.206,19,0.009270731023556496,0
D-007,District 007,West,Cordania,I09,Community Response Training (Enhanced),both,518000,0.197,22,0.001625663279345192,0
D-007,District 007,West,Cordania,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,13,0.7896641227501036,1
D-007,District 007,West,Cordania,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,14,0.0844460477529367,0
D-007,District 007,West,Cordania,I12,Reflective Road Surface (Enhanced),heat,1042000,0.2,16,0.355359734792655,0
D-007,District 007,West,Cordania,I13,Drainage Rehabilitation (Basic),flood,1113000,0.152,20,0.014660897796451904,0
D-007,District 007,West,Cordania,I14,River Embankment Reinforcement (Standard),flood,897000,0.198,21,0.012212623244966796,0
D-007,District 007,West,Cordania,I15,Flood Shelter Retrofit (Enhanced),flood,777000,0.243,14,0.06359668422442186,0
D-007,District 007,West,Cordania,I16,Watershed Reforestation (Basic),flood,603000,0.147,18,0.014068353577242093,0
D-007,District 007,West,Cordania,I17,Early Warning System Upgrade (Standard),both,1279000,0.138,17,0.07318178075820408,0
D-007,District 007,West,Cordania,I18,Critical Facility Resilience (Enhanced),both,694000,0.167,20,0.010778010314597516,0
D-008,District 008,Central,Azuria,I01,Drainage Rehabilitation (Basic),flood,969000,0.12,13,0.05809036070331785,0
D-008,District 008,Central,Azuria,I02,River Embankment Reinforcement (Standard),flood,1263000,0.149,14,0.2532615042892792,0
D-008,District 008,Central,Azuria,I03,Flood Shelter Retrofit (Enhanced),flood,638000,0.24,22,0.00620119993142911,0
D-008,District 008,Central,Azuria,I04,Watershed Reforestation (Basic),flood,459000,0.118,22,0.008582642473985571,0
D-008,District 008,Central,Azuria,I05,Early Warning System Upgrade (Standard),both,488000,0.19,22,0.005748401177386626,0
D-008,District 008,Central,Azuria,I06,Critical Facility Resilience (Enhanced),both,471000,0.277,19,0.02626692807628485,0
D-008,District 008,Central,Azuria,I07,Green Infrastructure (Urban) (Basic),both,880000,0.162,16,0.04052184868872372,0
D-008,District 008,Central,Azuria,I08,Water Storage & Distribution (Standard),both,381000,0.206,19,0.005626044804738308,0
D-008,District 008,Central,Azuria,I09,Community Response Training (Enhanced),both,518000,0.197,22,0.0009835677430302262,0
D-008,District 008,Central,Azuria,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,13,0.6941884542227664,1
D-008,District 008,Central,Azuria,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,14,0.05282276109516738,0
D-008,District 008,Central,Azuria,I12,Reflective Road Surface (Enhanced),heat,1042000,0.2,16,0.24998553782847582,0
D-008,District 008,Central,Azuria,I13,Drainage Rehabilitation (Basic),flood,1113000,0.152,20,0.008916197613303206,0
D-008,District 008,Central,Azuria,I14,River Embankment Reinforcement (Standard),flood,897000,0.198,21,0.0074200264703028675,0
D-008,District 008,Central,Azuria,I15,Flood Shelter Retrofit (Enhanced),flood,777000,0.243,14,0.039444674181371125,0
D-008,District 008,Central,Azuria,I16,Watershed Reforestation (Basic),flood,603000,0.147,18,0.008553819281012186,0
D-008,District 008,Central,Azuria,I17,Early Warning System Upgrade (Standard),both,1279000,0.138,17,0.04556678761311278,0
D-008,District 008,Central,Azuria,I18,Critical Facility Resilience (Enhanced),both,694000,0.167,20,0.006544668240748478,0
D-009,District 009,East,Belvaria,I01,Drainage Rehabilitation (Basic),flood,969000,0.12,13,0.06637832186165239,0
D-009,District 009,East,Belvaria,I02,River Embankment Reinforcement (Standard),flood,1263000,0.149,14,0.2810854774381171,0
D-009,District 009,East,Belvaria,I03,Flood Shelter Retrofit (Enhanced),flood,638000,0.24,22,0.007142082762109077,0
D-009,District 009,East,Belvaria,I04,Watershed Reforestation (Basic),flood,459000,0.118,22,0.009881259250348535,0
D-009,District 009,East,Belvaria,I05,Early Warning System Upgrade (Standard),both,488000,0.19,22,0.006621040408249015,0
D-009,District 009,East,Belvaria,I06,Critical Facility Resilience (Enhanced),both,471000,0.277,19,0.030159907650988808,0
D-009,District 009,East,Belvaria,I07,Green Infrastructure (Urban) (Basic),both,880000,0.162,16,0.046426795581236024,0
D-009,District 009,East,Belvaria,I08,Water Storage & Distribution (Standard),both,381000,0.206,19,0.006480230720710675,0
D-009,District 009,East,Belvaria,I09,Community Response Training (Enhanced),both,518000,0.197,22,0.0011337035710176598,0
D-009,District 009,East,Belvaria,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,13,0.723518709371338,1
D-009,District 009,East,Belvaria,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,14,0.060407373726887904,0
D-009,District 009,East,Belvaria,I12,Reflective Road Surface (Enhanced),heat,1042000,0.2,16,0.27758339184253555,0
D-009,District 009,East,Belvaria,I13,Drainage Rehabilitation (Basic),flood,1113000,0.152,20,0.010264761189008813,0
D-009,District 009,East,Belvaria,I14,River Embankment Reinforcement (Standard),flood,897000,0.198,21,0.008544246965422811,0
D-009,District 009,East,Belvaria,I15,Flood Shelter Retrofit (Enhanced),flood,777000,0.243,14,0.045200047096717995,0
D-009,District 009,East,Belvaria,I16,Watershed Reforestation (Basic),flood,603000,0.147,18,0.009848118217839,0
D-009,District 009,East,Belvaria,I17,Early Warning System Upgrade (Standard),both,1279000,0.138,17,0.05216692504485388,0
D-009,District 009,East,Belvaria,I18,Critical Facility Resilience (Enhanced),both,694000,0.167,20,0.007537268879275083,0
D-010,District 010,East,Azuria,I01,Drainage Rehabilitation (Basic),flood,969000,0.12,13,0.10811512093859894,0
D-010,District 010,East,Azuria,I02,River Embankment Reinforcement (Standard),flood,1263000,0.149,14,0.399986022258678,0
D-010,District 010,East,Azuria,I03,Flood Shelter Retrofit (Enhanced),flood,638000,0.24,22,0.012116186255462461,0
D-010,District 010,East,Azuria,I04,Watershed Reforestation (Basic),flood,459000,0.118,22,0.0167309150361605,0
D-010,District 010,East,Azuria,I05,Early Warning System Upgrade (Standard),both,488000,0.19,22,0.011236370742216284,0
D-010,District 010,East,Azuria,I06,Critical Facility Resilience (Enhanced),both,471000,0.277,19,0.05035179106016344,0
D-010,District 010,East,Azuria,I07,Green Infrastructure (Urban) (Basic),both,880000,0.162,16,0.07664855954489212,0
D-010,District 010,East,Azuria,I08,Water Storage & Distribution (Standard),both,381000,0.206,19,0.010998493553912185,0
D-010,District 010,East,Azuria,I09,Community Response Training (Enhanced),both,518000,0.197,22,0.0019314116144264941,0
D-010,District 010,East,Azuria,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,13,0.8169088725132067,1
D-010,District 010,East,Azuria,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,14,0.09878706188707974,0
D-010,District 010,East,Azuria,I12,Reflective Road Surface (Enhanced),heat,1042000,0.2,16,0.39581816240078754,0
D-010,District 010,East,Azuria,I13,Drainage Rehabilitation (Basic),flood,1113000,0.152,20,0.01737559396718594,0
D-010,District 010,East,Azuria,I14,River Embankment Reinforcement (Standard),flood,897000,0.198,21,0.014480645097826017,0
D-010,District 010,East,Azuria,I15,Flood Shelter Retrofit (Enhanced),flood,777000,0.243,14,0.07468579747075983,0
D-010,District 010,East,Azuria,I16,Watershed Reforestation (Basic),flood,603000,0.147,18,0.016675187657440756,0
D-010,District 010,East,Azuria,I17,Early Warning System Upgrade (Standard),both,1279000,0.138,17,0.08578909242119442,0
D-010,District 010,East,Azuria,I18,Critical Facility Resilience (Enhanced),both,694000,0.167,20,0.012783056186082265,0
D-011,District 011,Central,Cordania,I01,Drainage Rehabilitation (Basic),flood,969000,0.12,13,0.039439278035645675,0
D-011,District 011,Central,Cordania,I02,River Embankment Reinforcement (Standard),flood,1263000,0.149,14,0.18420138996667743,0
D-011,District 011,Central,Cordania,I03,Flood Shelter Retrofit (Enhanced),flood,638000,0.24,22,0.00413700609120472,0
D-011,District 011,Central,Cordania,I04,Watershed Reforestation (Basic),flood,459000,0.118,22,0.00573030851653037,0
D-011,District 011,Central,Cordania,I05,Early Warning System Upgrade (Standard),both,488000,0.19,22,0.0038343489576660845,0
D-011,District 011,Central,Cordania,I06,Critical Facility Resilience (Enhanced),both,471000,0.277,19,0.01764202526850339,0
D-011,District 011,Central,Cordania,I07,Green Infrastructure (Urban) (Basic),both,880000,0.162,16,0.027347716676898687,0
D-011,District 011,Central,Cordania,I08,Water Storage & Distribution (Standard),both,381000,0.206,19,0.0037525799687582,0
D-011,District 011,Central,Cordania,I09,Community Response Training (Enhanced),both,518000,0.197,22,0.0006550227438973328,0
D-011,District 011,Central,Cordania,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,13,0.6017900021523992,1
D-011,District 011,Central,Cordania,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,14,0.03579866840594468,0
D-011,District 011,Central,Cordania,I12,Reflective Road Surface (Enhanced),heat,1042000,0.2,16,0.18160147966119544,0
D-011,District 011,Central,Cordania,I13,Drainage Rehabilitation (Basic),flood,1113000,0.152,20,0.005953676469801645,0
D-011,District 011,Central,Cordania,I14,River Embankment Reinforcement (Standard),flood,897000,0.198,21,0.004952143432965294,0
D-011,District 011,Central,Cordania,I15,Flood Shelter Retrofit (Enhanced),flood,777000,0.243,14,0.026611031512636083,0
D-011,District 011,Central,Cordania,I16,Watershed Reforestation (Basic),flood,603000,0.147,18,0.005711009171997282,0
D-011,District 011,Central,Cordania,I17,Early Warning System Upgrade (Standard),both,1279000,0.138,17,0.030805145836199747,0
D-011,District 011,Central,Cordania,I18,Critical Facility Resilience (Enhanced),both,694000,0.167,20,0.004366646436477955,0
D-012,District 012,West,Cordania,I01,Drainage Rehabilitation (Basic),flood,969000,0.12,13,0.11749485326943744,0
D-012,District 012,West,Cordania,I02,River Embankment Reinforcement (Standard),flood,1263000,0.149,14,0.4226869169641264,0
D-012,District 012,West,Cordania,I03,Flood Shelter Retrofit (Enhanced),flood,638000,0.24,22,0.013291466902141155,0
D-012,District 012,West,Cordania,I04,Watershed Reforestation (Basic),flood,459000,0.118,22,0.018345515631982667,0
D-012,District 012,West,Cordania,I05,Early Warning System Upgrade (Standard),both,488000,0.19,22,0.012327373472534655,0
D-012,District 012,West,Cordania,I06,Critical Facility Resilience (Enhanced),both,471000,0.277,19,0.055029357872555404,0
D-012,District 012,West,Cordania,I07,Green Infrastructure (Urban) (Basic),both,880000,0.162,16,0.08355409867626191,0
D-012,District 012,West,Cordania,I08,Water Storage & Distribution (Standard),both,381000,0.206,19,0.012066681313213461,0
D-012,District 012,West,Cordania,I09,Community Response Training (Enhanced),both,518000,0.197,22,0.002120881212276743,0
D-012,District 012,West,Cordania,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,13,0.8305195569045962,1
D-012,District 012,West,Cordania,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,14,0.10745502269657307,0
D-012,District 012,West,Cordania,I12,Reflective Road Surface (Enhanced),heat,1042000,0.2,16,0.41844747810729827,0
D-012,District 012,West,Cordania,I13,Drainage Rehabilitation (Basic),flood,1113000,0.152,20,0.01905120325141384,0
D-012,District 012,West,Cordania,I14,River Embankment Reinforcement (Standard),flood,897000,0.198,21,0.015881593126179146,0
D-012,District 012,West,Cordania,I15,Flood Shelter Retrofit (Enhanced),flood,777000,0.243,14,0.08143009922013786,0
D-012,District 012,West,Cordania,I16,Watershed Reforestation (Basic),flood,603000,0.147,18,0.01828451034282262,0
D-012,District 012,West,Cordania,I17,Early Warning System Upgrade (Standard),both,1279000,0.138,17,0.09343480337489891,0
D-012,District 012,West,Cordania,I18,Critical Facility Resilience (Enhanced),both,694000,0.167,20,0.014022105626134828,0
D-013,District 013,West,Belvaria,I01,Drainage Rehabilitation (Basic),flood,969000,0.12,13,0.08491855526452277,0
D-013,District 013,West,Belvaria,I02,River Embankment Reinforcement (Standard),flood,1263000,0.149,14,0.3378917853386785,0
D-013,District 013,West,Belvaria,I03,Flood Shelter Retrofit (Enhanced),flood,638000,0.24,22,0.009301792741032966,0
D-013,District 013,West,Belvaria,I04,Watershed Reforestation (Basic),flood,459000,0.118,22,0.012858547357721682,0
D-013,District 013,West,Belvaria,I05,Early Warning System Upgrade (Standard),both,488000,0.19,22,0.0086245599069362,0
D-013,District 013,West,Belvaria,I06,Critical Facility Resilience (Enhanced),both,471000,0.277,19,0.03900657309761622,0
D-013,District 013,West,Belvaria,I07,Green Infrastructure (Urban) (Basic),both,880000,0.162,16,0.05975098432676381,0
D-013,District 013,West,Belvaria,I08,Water Storage & Distribution (Standard),both,381000,0.206,19,0.00844150344395989,0
D-013,District 013,West,Belvaria,I09,Community Response Training (Enhanced),both,518000,0.197,22,0.0014792335990340168,0
D-013,District 013,West,Belvaria,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,13,0.7735320339710787,1
D-013,District 013,West,Belvaria,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,14,0.07741814645477577,0
D-013,District 013,West,Belvaria,I12,Reflective Road Surface (Enhanced),heat,1042000,0.2,16,0.334010769034789,0
D-013,District 013,West,Belvaria,I13,Drainage Rehabilitation (Basic),flood,1113000,0.152,20,0.01335604222667564,0
D-013,District 013,West,Belvaria,I14,River Embankment Reinforcement (Standard),flood,897000,0.198,21,0.011123210228712963,0
D-013,District 013,West,Belvaria,I15,Flood Shelter Retrofit (Enhanced),flood,777000,0.243,14,0.058193652679682344,0
D-013,District 013,West,Belvaria,I16,Watershed Reforestation (Basic),flood,603000,0.147,18,0.012815549963353887,0
D-013,District 013,West,Belvaria,I17,Early Warning System Upgrade (Standard),both,1279000,0.138,17,0.06702270615940582,0
D-013,District 013,West,Belvaria,I18,Critical Facility Resilience (Enhanced),both,694000,0.167,20,0.009815298672444074,0
D-014,District 014,Central,Belvaria,I01,Drainage Rehabilitation (Basic),flood,969000,0.12,13,0.1051865101273148,0
D-014,District 014,Central,Belvaria,I02,River Embankment Reinforcement (Standard),flood,1263000,0.149,14,0.39263175176632603,0
D-014,District 014,Central,Belvaria,I03,Flood Shelter Retrofit (Enhanced),flood,638000,0.24,22,0.011753714783451542,0
D-014,District 014,Central,Belvaria,I04,Watershed Reforestation (Basic),flood,459000,0.118,22,0.016232656444907925,0
D-014,District 014,Central,Belvaria,I05,Early Warning System Upgrade (Standard),both,488000,0.19,22,0.010899929681852228,0
