district_code,district_name,region,country,poverty_index,is_top_poverty,vulnerability,intervention_id,intervention_name,hazard_focus,allocation,risk_reduction,feasibility,impl_months,objective
D-056,District 056,North,Belvaria,0.64,1,0.6082103717562706,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,0.1277694312907997,14,0.02804596450085939
D-105,District 105,East,Belvaria,0.657,1,0.5133716705824141,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,0.1082317614103286,14,0.020052855398002157
D-042,District 042,East,Azuria,0.685,1,0.6176872909742885,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,0.0885447691944244,14,0.01973881934928637
D-058,District 058,North,Azuria,0.732,1,0.3574414639835055,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,0.0900361180978304,14,0.011614788041244013
D-115,District 115,East,Azuria,0.48,0,0.633994831254518,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.8478380315648026,13,0.18594612395528398
D-060,District 060,South,Belvaria,0.589,0,0.5795115535797494,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.910449123584236,13,0.18251825157433432
D-094,District 094,South,Belvaria,0.371,0,0.5825774591130102,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.8691575415294249,13,0.17516232401587686
D-050,District 050,East,Belvaria,0.599,0,0.6107427865199287,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.7999339283892002,13,0.16900555609969226
D-112,District 112,North,Azuria,0.484,0,0.6345935818238405,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.7563842512687409,13,0.16604533243745673
D-038,District 038,East,Azuria,0.378,0,0.6018300258523569,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.7923740041207584,13,0.16496529540343913
D-019,District 019,South,Azuria,0.632,0,0.5023332869781435,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.8818403444404764,13,0.15323939912416862
D-026,District 026,North,Azuria,0.585,0,0.6301933538231601,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.6966394871149151,13,0.15186945174442076
D-048,District 048,North,Azuria,0.59,0,0.7314364572732154,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.600116095780176,13,0.15184496550860516
D-108,District 108,Central,Cordania,0.484,0,0.55124251894794,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.7962328248229603,13,0.15183479411310655
D-002,District 002,Central,Belvaria,0.545,0,0.535344074539572,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.8127917286465313,13,0.15052228213987748
D-046,District 046,North,Belvaria,0.561,0,0.617517790866181,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.6657088860230919,13,0.14220744941331093
D-049,District 049,North,Belvaria,0.524,0,0.609274608524786,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.6657071699628673,13,0.14030877491040997
D-024,District 024,South,Azuria,0.423,0,0.49789036416752175,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.8093005035376791,13,0.13939013886294396
D-059,District 059,Central,Azuria,0.548,0,0.49184522068612946,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.8031152025104483,13,0.1366453386854689
D-114,District 114,East,Azuria,0.534,0,0.4729248244492335,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.8328722847164465,13,0.1362570683300603
D-074,District 074,East,Cordania,0.511,0,0.5892781183079345,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.6672632406982572,13,0.1360210220943956
D-017,District 017,West,Azuria,0.542,0,0.5291666376730283,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.7350385501213277,13,0.13455228923605675
D-118,District 118,West,Belvaria,0.471,0,0.4982209812723167,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.7541867672164893,13,0.12998386301104148
D-020,District 020,West,Azuria,0.37,0,0.4391049653955566,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.854425516855288,13,0.12978696498374068
D-088,District 088,North,Belvaria,0.485,0,0.5088566816665894,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.7301597858925208,13,0.1285292314027413
D-062,District 062,West,Azuria,0.344,0,0.45776590719109544,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.8048727184082316,13,0.1274556730341435
D-063,District 063,Central,Belvaria,0.496,0,0.5268202093628163,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.6869804323687781,13,0.1251974007262577
D-043,District 043,South,Azuria,0.271,0,0.4890380076943863,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.7263235124812054,13,0.12287435062430901
D-081,District 081,West,Azuria,0.55,0,0.43281707609351944,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.8150129950600572,13,0.12202742278637732
D-117,District 117,South,Azuria,0.506,0,0.4270649188306978,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.8244093540731359,13,0.12179384113889798
D-051,District 051,North,Belvaria,0.449,0,0.4163954400456099,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.8355206516794267,13,0.12035154575978695
D-037,District 037,Central,Belvaria,0.612,0,0.3985656149986767,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.8325700165711065,13,0.11479133692270482
D-027,District 027,North,Azuria,0.409,0,0.4418633197979133,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.7505496003609983,13,0.11472441928061754
D-032,District 032,South,Cordania,0.4,0,0.43884545644678424,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.7528253429085809,13,0.11428634815923647
D-078,District 078,North,Cordania,0.389,0,0.48317131519279327,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.6831087331323495,13,0.11417722923215576
D-109,District 109,East,Belvaria,0.536,0,0.40119272109183857,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.8152305040053329,13,0.11314151384319038
D-120,District 120,East,Belvaria,0.419,0,0.38970313948210455,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.8257769214282122,13,0.11132306743110623
D-029,District 029,North,Azuria,0.638,0,0.503561004962602,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.6264219037265062,13,0.10912080104988835
D-044,District 044,Central,Belvaria,0.599,0,0.4026825158215851,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.7602647824804365,13,0.10590492703683983
D-012,District 012,West,Cordania,0.577,0,0.367199203065986,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.8305195569045962,13,0.10549700061541846
D-116,District 116,South,Azuria,0.625,0,0.3854886682434519,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.7874378439907004,13,0.10500655677538356
D-110,District 110,Central,Azuria,0.576,0,0.4232026768036007,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.7170875076552589,13,0.10498060748928266
D-107,District 107,East,Belvaria,0.496,0,0.39090503840450286,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.7692289822725816,13,0.10401965900580609
D-090,District 090,Central,Cordania,0.439,0,0.36052185344521404,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.8299970058770368,13,0.10351341572854458
D-099,District 099,East,Azuria,0.532,0,0.42068252336508677,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.6972535078813941,13,0.10146907398070841
D-086,District 086,West,Belvaria,0.513,0,0.3553653140647347,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,0.8163172109541086,13,0.10035118553375424
D-113,District 113,Central,Belvaria,0.515,0,0.3840752299124525,I10,Heat-Resilient Roofing Subsidy (Basic),heat,168000,0.119,0.7547686755663684,13,0.10028100685833012
